objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift
1237680311772250464,16.7650049756796,32.3895546788151,8111,301,5,174,GALAXY,17.46509,16.28591,15.810429999999998,15.5547,15.38543,0.016998
1237680315521237319,16.7928263637264,32.3468723190341,8112,301,4,35,GALAXY,18.74607,17.03549,16.28892,15.90131,15.58982,0.01416
1237680311772250198,16.6854659937829,32.4185860672176,8111,301,5,174,GALAXY,18.68646,17.02711,16.259179999999994,15.87417,15.60222,0.020514
1237680315521302864,16.9666914644569,32.2561078992514,8112,301,4,36,GALAXY,18.19989,16.577,15.77055,15.38624,15.10587,0.018193
1237680311772381486,17.066149496098898,32.4990110334312,8111,301,5,176,GALAXY,18.66414,16.9115,16.11959,15.7018,15.43588,0.018373
1237680311772250409,16.724121334591597,32.5786091476311,8111,301,5,174,GALAXY,18.19188,16.52523,15.781020000000002,15.39715,15.1275,0.018539
1237680311772381573,17.1083480233428,32.4312371676021,8111,301,5,176,GALAXY,18.75331,17.034229999999994,16.26106,15.8607,15.63199,0.020664
1237680311772381519,17.094221293273698,32.54968509602811,8111,301,5,176,GALAXY,18.33858,16.70792,15.943970000000002,15.58409,15.33579,0.015754
1237680315521237340,16.7980313307194,32.1703931639431,8112,301,4,35,GALAXY,18.90546,17.13206,16.34579,15.93874,15.70636,0.015663999999999997
1237680315521368099,17.0783388158754,32.2267953707609,8112,301,4,37,GALAXY,18.64893,16.78584,15.98534,15.645370000000002,15.3756,0.017728999999999998
1237680315521433819,17.2300886724699,32.3252905215593,8112,301,4,38,GALAXY,18.21403,16.790020000000002,16.08819,15.73077,15.44735,0.015794
1237680315521433651,17.2457321878632,32.240444709575,8112,301,4,38,GALAXY,17.706139999999994,16.18494,15.70015,15.32708,15.41901,0.015057
1237680316058370301,17.433191910752303,32.6178317429174,8112,301,5,39,GALAXY,17.99057,16.28557,15.52443,15.12901,14.86859,0.017629
1237680312309317964,17.359933421435798,32.7712466888176,8111,301,6,177,GALAXY,18.27111,16.60471,15.79925,15.395829999999998,15.11969,0.017155
1237680316058370081,17.4511622312855,32.703189318385704,8112,301,5,39,GALAXY,18.4608,16.70235,15.95817,15.581179999999998,15.31404,0.015447
1237680310698377466,16.278864156656898,31.729536475234895,8111,301,3,172,GALAXY,17.77091,16.50712,15.85874,15.563,15.32008,0.017445
1237678892277235920,16.786471613515403,33.3107426609722,7781,301,1,47,GALAXY,18.29269,16.39816,15.70781,15.35518,15.154370000000002,0.015267
1237680316595306651,17.6852487348198,33.031432892276804,8112,301,6,40,GALAXY,17.61971,16.41597,15.88808,15.5762,15.36051,0.015708
1237678806920331280,20.9960388802271,33.3315010431732,7761,301,2,132,GALAXY,17.976979999999994,16.33028,15.53946,15.15866,14.85466,0.014974
1237678806920266014,20.8476904762671,33.3816896619527,7761,301,2,131,GALAXY,17.98633,16.29919,15.500379999999998,15.1068,14.81529,0.016278
1237666214615187800,20.548924198370106,33.4491779653176,4829,301,3,164,GALAXY,18.12462,16.396520000000002,15.57168,15.15758,14.8588,0.014523
1237678806383198451,20.3258549061143,33.1586668444904,7761,301,1,128,GALAXY,18.10275,16.42097,15.66346,15.29284,15.011120000000002,0.013629
1237666214615384350,20.5979105586932,33.814961103825496,4829,301,3,167,GALAXY,18.60388,16.79941,15.967,15.55546,15.24304,0.017108
1237666215152124183,20.1571966683494,33.5570716182146,4829,301,4,165,GALAXY,18.07755,16.73291,16.386110000000002,16.20226,16.23081,0.017792
1237678893889356163,21.0255371707972,34.0126744187881,7781,301,4,70,GALAXY,17.70496,16.84615,16.48475,16.43348,16.30444,0.022259
1237666214615450070,20.621599924410997,34.0400148159639,4829,301,3,168,GALAXY,17.735960000000006,16.32991,15.62074,15.221570000000002,14.940779999999998,0.016398
1237661059574334104,49.935962244796286,41.4464621386771,3629,301,1,67,GALAXY,18.43154,16.4852,15.52645,15.066120000000002,14.66228,0.013219
1237661059574333649,49.928689656782396,41.6007242293514,3629,301,1,67,GALAXY,18.55726,16.676170000000006,15.767179999999998,15.30792,14.96023,0.011111
1237661059574334013,49.97050602745,41.60878551268161,3629,301,1,67,GALAXY,18.40406,16.48969,15.592770000000002,15.13966,14.80942,0.018483000000000003
1237661122388034402,49.9066992265763,41.3800473551305,3643,301,6,64,GALAXY,18.73021,16.68105,15.788470000000002,15.31839,14.95809,0.018363
1237661059574269233,49.758831541001214,41.6199281631011,3629,301,1,66,GALAXY,18.5124,16.562089999999998,15.59295,15.126879999999998,14.76156,0.01851
1237661055281726031,49.686731402472404,41.5114441278751,3628,301,1,103,GALAXY,19.08229,17.03068,16.058239999999998,15.55437,15.25468,0.02394
1237661059574268293,49.7414833652148,41.6350645495977,3629,301,1,66,GALAXY,18.54792,16.51011,15.53457,15.06028,14.69869,0.013638
1237661055281726775,49.7128793782931,41.3923537508079,3628,301,1,103,GALAXY,18.52813,16.70724,15.780170000000002,15.32324,14.98867,0.020630000000000003
1237661055281857617,50.055279037161796,41.2868743263484,3628,301,1,105,GALAXY,18.09833,16.40142,15.6514,15.2905,15.03911,0.023606
1237661059574465600,50.2558101944956,41.43446266571571,3629,301,1,69,GALAXY,19.03753,17.05544,16.11115,15.6385,15.25828,0.013347
1237661055818662302,50.1376824405423,41.732256847018,3628,301,2,104,GALAXY,18.30601,16.45993,15.76261,15.38562,15.15431,0.024397
1237661055281923151,50.1414808228767,41.2218467088852,3628,301,1,106,GALAXY,19.20843,17.39572,16.48199,16.04886,15.70417,0.022747
1237661055818793134,50.3802762291804,41.547453628995,3628,301,2,106,GALAXY,18.99288,17.168429999999994,16.280279999999998,15.834970000000002,15.49689,0.012881
1237661055281661215,49.5244020176062,41.5813582967438,3628,301,1,102,GALAXY,19.31092,17.29062,16.31469,15.86135,15.51601,0.019193
1237661055281857673,49.9798978192562,41.1726324626266,3628,301,1,105,GALAXY,19.17409,17.347360000000002,16.48466,16.08295,15.77537,0.01635
1237661083199144680,49.502817296740396,41.299094794563295,3634,301,5,105,GALAXY,18.74473,16.929000000000002,16.04459,15.6189,15.27001,0.01404
1237661059574138014,49.5269787347295,41.799176164502896,3629,301,1,64,GALAXY,18.90078,16.86861,15.884479999999998,15.40553,15.01613,0.026658
1237661059574531029,50.4849246057506,41.2983642792742,3629,301,1,70,GALAXY,19.17907,17.219379999999994,16.33503,15.94333,15.62619,0.016341
1237661055281988793,50.3513890519603,41.1358669689464,3628,301,1,107,GALAXY,18.81988,17.169220000000006,16.2971,15.89998,15.60275,0.020584
1237661055281988410,50.3391547703146,41.0246258212553,3628,301,1,107,GALAXY,18.28198,16.50913,15.652629999999998,15.23571,14.95691,0.01819
